Africa Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
191001,-0.60
191002,-0.31
191003,-0.90
191004,-0.31
191005,-0.37
191006,-0.19
191007,0.06
191008,0.00
191009,-0.36
191010,-0.37
191011,-0.44
191012,-0.40
191101,-0.59
191102,-0.90
191103,-0.78
191104,-0.86
191105,-0.99
191106,-0.84
191107,-0.55
191108,-0.56
191109,-0.41
191110,0.04
191111,-0.38
191112,0.17
191201,-0.30
191202,-0.15
191203,-0.19
191204,-0.11
191205,0.29
191206,-0.02
191207,-0.12
191208,-0.05
191209,-0.42
191210,-0.34
191211,-0.22
191212,-0.57
191301,0.03
191302,-0.28
191303,-1.00
191304,-0.29
191305,-0.11
191306,0.08
191307,0.42
191308,0.35
191309,0.28
191310,0.05
191311,-0.32
191312,-0.12
191401,0.75
191402,-0.40
191403,0.09
191404,-0.06
191405,0.42
191406,0.17
191407,-0.18
191408,-0.59
191409,-0.10
191410,0.06
191411,0.16
191412,-0.25
191501,0.27
191502,-0.01
191503,0.23
191504,0.01
191505,-0.07
191506,-0.38
191507,0.01
191508,0.03
191509,-0.30
191510,0.03
191511,0.30
191512,-0.31
191601,-0.62
191602,-0.24
191603,0.00
191604,-0.34
191605,-0.50
191606,-0.32
191607,-0.34
191608,-0.86
191609,-0.56
191610,-0.50
191611,-0.60
191612,-0.18
191701,0.10
191702,-0.17
191703,-0.71
191704,-0.61
191705,-0.94
191706,-0.64
191707,-0.30
191708,-0.21
191709,-0.58
191710,-0.59
191711,-0.53
191712,-0.60
191801,-1.25
191802,-1.06
191803,-0.85
191804,-1.26
191805,-0.79
191806,-0.73
191807,-0.39
191808,-0.85
191809,-0.02
191810,0.05
191811,-0.18
191812,-0.58
191901,0.21
191902,0.35
191903,0.13
191904,0.28
191905,-0.70
191906,-0.20
191907,0.02
191908,-0.31
191909,-0.30
191910,0.11
191911,-0.22
191912,-0.56
192001,-0.35
192002,-0.88
192003,-0.70
192004,-0.03
192005,-0.27
192006,-0.47
192007,-0.18
192008,-0.45
192009,-0.22
192010,-0.30
192011,-0.14
192012,-0.72
192101,-0.79
192102,-0.59
192103,-0.66
192104,-0.47
192105,-0.64
192106,-0.29
192107,-0.33
192108,-0.69
192109,-0.22
192110,-0.35
192111,-0.29
192112,-0.06
192201,-0.03
192202,-0.22
192203,-0.06
192204,0.23
192205,-0.54
192206,0.06
192207,-0.20
192208,-0.24
192209,-0.45
192210,-0.33
192211,0.15
192212,-0.34
192301,-0.12
192302,-0.67
192303,-0.36
192304,-0.79
192305,-0.48
192306,-0.35
192307,-0.57
192308,-0.52
192309,-0.40
192310,-0.06
192311,0.10
192312,-0.12
192401,0.23
192402,-0.11
192403,0.52
192404,-0.17
192405,0.24
192406,0.34
192407,-0.17
192408,-0.24
192409,-0.20
192410,-0.29
192411,-0.44
192412,-0.47
192501,-1.69
192502,-0.96
192503,-0.11
192504,0.07
192505,-0.07
192506,-0.17
192507,-0.08
192508,-0.15
192509,-0.05
192510,-0.42
192511,0.10
192512,0.49
192601,0.24
192602,0.41
192603,-0.07
192604,0.10
192605,0.14
192606,0.09
192607,-0.34
192608,-0.12
192609,0.12
192610,0.32
192611,0.00
192612,-0.14
192701,-0.09
192702,-0.45
192703,-0.49
192704,-0.48
192705,-0.06
192706,-0.13
192707,-0.07
192708,-0.29
192709,0.12
192710,0.28
192711,0.33
192712,0.58
192801,0.35
192802,-0.56
192803,-0.03
192804,0.01
192805,-0.29
192806,0.08
192807,-0.11
192808,-0.35
192809,0.33
192810,0.19
192811,0.10
192812,-0.20
192901,-0.20
192902,0.01
192903,-0.29
192904,-0.16
192905,-0.02
192906,-0.47
192907,-0.45
192908,-0.57
192909,-0.17
192910,-0.11
192911,0.04
192912,-0.77
193001,-0.68
193002,0.04
193003,-0.38
193004,-0.35
193005,-0.36
193006,-0.58
193007,-0.10
193008,-0.20
193009,-0.30
193010,0.12
193011,0.22
193012,0.63
193101,0.46
193102,0.17
193103,0.60
193104,0.42
193105,0.29
193106,0.07
193107,0.43
193108,0.61
193109,0.18
193110,0.31
193111,0.10
193112,0.02
193201,-0.15
193202,-0.19
193203,-0.07
193204,0.31
193205,-0.15
193206,-0.09
193207,-0.53
193208,-0.50
193209,-0.16
193210,0.30
193211,0.14
193212,-0.09
193301,0.36
193302,0.32
193303,0.11
193304,-0.02
193305,0.14
193306,-0.08
193307,-0.18
193308,-0.30
193309,-0.49
193310,0.07
193311,0.24
193312,-0.13
193401,-0.83
