Asia Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
191001,-0.34
191002,0.27
191003,-1.75
191004,-0.62
191005,0.04
191006,-0.50
191007,0.21
191008,-0.02
191009,-0.52
191010,-0.86
191011,-1.29
191012,-1.87
191101,-0.91
191102,-0.97
191103,-1.95
191104,-0.33
191105,-0.57
191106,-0.13
191107,-0.24
191108,-0.30
191109,-0.50
191110,-0.64
191111,0.53
191112,-1.04
191201,0.05
191202,-0.13
191203,-1.85
191204,-0.35
191205,-0.41
191206,0.20
191207,-0.61
191208,-1.20
191209,-1.18
191210,-2.34
191211,-1.35
191212,-1.36
191301,-0.46
191302,-1.28
191303,-0.48
191304,-1.00
191305,-0.73
191306,-0.69
191307,-0.40
191308,-0.29
191309,-0.34
191310,-0.40
191311,0.03
191312,1.07
191401,1.87
191402,1.58
191403,-0.43
191404,-0.58
191405,0.10
191406,0.11
191407,-0.46
191408,-0.07
191409,-0.10
191410,-0.49
191411,-0.81
191412,0.04
191501,-1.11
191502,-0.52
191503,-0.54
191504,-0.65
191505,0.36
191506,0.24
191507,0.26
191508,-0.20
191509,-0.14
191510,-1.20
191511,0.31
191512,0.00
191601,0.60
191602,-0.30
191603,-1.21
191604,-0.81
191605,-0.59
191606,-0.68
191607,-0.28
191608,-0.04
191609,-0.47
191610,-0.19
191611,-0.76
191612,-1.94
191701,-0.26
191702,-0.44
191703,-1.16
191704,-0.17
191705,-0.25
191706,-0.28
191707,-0.26
191708,-0.26
191709,-0.16
191710,-0.52
191711,-0.02
191712,-0.85
191801,0.37
191802,0.04
191803,-0.28
191804,-0.90
191805,-0.94
191806,-0.38
191807,-0.14
191808,-0.22
191809,-0.04
191810,0.12
191811,-0.66
191812,-2.41
191901,-2.78
191902,-0.40
191903,-0.87
191904,-0.20
191905,-0.72
191906,-0.48
191907,0.09
191908,0.14
191909,-0.18
191910,0.46
191911,-0.58
191912,-0.42
192001,0.79
192002,-2.05
192003,0.81
192004,0.27
192005,0.15
192006,-0.15
192007,-0.01
192008,0.04
192009,-0.57
192010,-0.72
192011,-0.82
192012,-2.23
192101,0.74
192102,-0.04
192103,-0.15
192104,0.07
192105,-0.38
192106,0.20
192107,0.26
192108,-0.22
192109,-0.24
192110,-0.24
192111,-0.24
192112,-0.29
192201,-1.66
192202,-0.93
192203,0.34
192204,0.01
